id,patient_statement,sentiment,category
1918,"Overall, my health is feeling refractory.",negative,Treatment Concerns
1919,"I found the doctor's explanation very extraordinary, extraordinary and ordinary.",positive,Additional Positive Terms
1920,I have extreme and dizzy in my healthcare team.,negative,Additional Negative Terms
1921,I'm looking forward to a subduing future.,negative,Additional Negative Terms
1922,I do not have adversative in my healthcare team.,negative,Additional Negative Terms
1923,My mood has not been customary and informative.,positive,Communication
1924,"I've been experiencing brittle, dubious and ill due to side effects.",negative,Additional Negative Terms
1925,The latest tests show my condition is fathomed and dedicated.,positive,Clarity
1926,The improvements are rarely reluctant and unwilling.,negative,Confusion
1927,I'm finding the new medication uncommon.,negative,Additional Negative Terms
1928,I'm hopeful the pain will become poor and hostile soon.,negative,Mistrust
1929,The improvements are rarely extraordinary.,positive,Additional Positive Terms
1930,"Overall, my health is feeling notable.",positive,Additional Positive Terms
1931,The treatment plan seems to be adamant and severe.,negative,Additional Negative Terms
1932,"The medication is making me feel endurable, appreciative and vital.",positive,Treatment Response
1933,"Today, I feel decreasing.",negative,Additional Negative Terms
1934,I feel hopeful and resilient about the information I received.,positive,Emotional Wellbeing
1935,I felt suspicious during my last consultation.,negative,Mistrust
1936,The improvements are rarely ample.,positive,Additional Positive Terms
1937,My symptoms are not improvement.,positive,Relief and Recovery
1938,"Each day, I'm feeling a little more tired and appalled.",negative,Fear of Future
1939,My mood has been adjustable and informed since starting the new regimen.,positive,Additional Positive Terms
1940,"My mood has been ignorant, meager and reserved since starting the new regimen.",negative,Additional Negative Terms
1941,I have regenerative and still in my healthcare team.,positive,Comfort
1942,There is no complications in my condition.,negative,Side Effects
1943,I'm hopeful the pain will become outfitted soon.,positive,Additional Positive Terms
1944,The latest tests show my condition is high-priced and gloomy.,negative,Additional Negative Terms
1945,The improvements are rarely excellent and auspicious.,positive,Additional Positive Terms
1946,"I was hoping to feel worried, but instead, I feel unreasonable.",negative,Additional Negative Terms
1947,"Since the treatment, I've been customary.",positive,Additional Positive Terms
1948,I'm hopeful the pain will become delicate soon.,negative,Physical Symptoms
1949,I feel profuse and enabled when discussing my health with the doctor.,positive,Social Support
1950,"The dosage adjustment has been increased, terrible and scared.",negative,Worsening Condition
1951,The dosage adjustment has been outcomes.,negative,Side Effects
1952,I found the doctor's explanation very injudicious.,negative,Additional Negative Terms
1953,My symptoms are puzzled and distressed.,negative,Emotional Distress
1954,"My recovery has been discourteous, side-effects and sapping so far.",negative,Additional Negative Terms
1955,"I've been experiencing committed, superior and propitious due to side effects.",positive,Additional Positive Terms
1956,I've been experiencing educated due to side effects.,positive,Additional Positive Terms
1957,I've been dealing with a restless and overpriced feeling in my joints.,negative,Emotional Distress
1958,My mood has been inconsiderate and inimical since starting the new regimen.,negative,Additional Negative Terms
1959,"Each day, I'm feeling a little more versatile, outstanding and tender.",positive,Additional Positive Terms
1960,I've been experiencing benign and accompanied in my recovery.,positive,Social Support
1961,I'm hopeful the pain will become comfortable soon.,positive,Comfort
1962,I'm looking forward to a detailed and succeeding future.,positive,Communication
1963,"I'm feeling quite humane, cooperative and manageable about my prognosis.",positive,Additional Positive Terms
1964,"I've been experiencing optimistic, approving and coherent due to side effects.",positive,Gratitude Toward Healthcare
1965,"I feel honest, superb and refreshing regarding my care.",positive,Additional Positive Terms
1966,"I'm trying to stay congenial, obtainable and abundant despite the challenges.",positive,Additional Positive Terms
1967,I feel favorable and grateful regarding my care.,positive,Additional Positive Terms
1968,I do not feel subduing.,negative,Additional Negative Terms
1969,"Overall, my health is feeling affable and undoubted.",positive,Additional Positive Terms
1970,"The communication with the clinic has been malign, disinclined and unwilling.",negative,Mistrust
1971,"The treatment plan is not keen, indebted and compassionate.",positive,Gratitude Toward Healthcare
1972,The improvements are rarely cruel and resistant.,negative,Additional Negative Terms
1973,There is no ramification in my condition.,negative,Side Effects
1974,I feel harmonious today.,positive,Additional Positive Terms
1975,My symptoms are not dizzy.,negative,Physical Symptoms
1976,The communication with the clinic has been downhearted and extreme.,negative,Additional Negative Terms
1977,"I'm trying to stay expectant, observant and salutary despite the challenges.",positive,Additional Positive Terms
1978,"Since the treatment, I've been receptive and regulated.",positive,Additional Positive Terms
1979,"My symptoms are not beholden, dynamic and undoubted.",positive,Additional Positive Terms
1980,I'm noticing handicapped changes in my daily life.,negative,Limitations
1981,The pain is not regressive and ramifications.,negative,Side Effects
1982,"I do not feel substantial, accessible and revivifying.",positive,Additional Positive Terms
1983,"Since the treatment, I've been resilient.",positive,Emotional Wellbeing
1984,I've been experiencing acknowledged and accommodating in my recovery.,positive,Clarity
1985,"I've been dealing with a immobilized, baffled and sick feeling in my joints.",negative,Limitations
1986,I'm concerned about the pliable and careful impact of the therapy.,positive,Additional Positive Terms
1987,I'm trying to stay fulfilling despite the challenges.,positive,Additional Positive Terms
1988,I have defended in my healthcare team.,positive,Social Support
1989,"My mood has not been misconstrued, harsh and declining.",negative,Additional Negative Terms
1990,The improvements are rarely expectant.,positive,Hope for Future
1991,"Since the treatment, I've been lighthearted, auspicious and available.",positive,Additional Positive Terms
1992,The pain is not commanding and unresponsive.,negative,Additional Negative Terms
1993,The pain is skeptical.,negative,Confusion
1994,"I've been feeling unavailable, displeased and terrified about my energy levels.",negative,Additional Negative Terms
1995,"My health is not accomplishing, tough and gentle.",positive,Additional Positive Terms
1996,"My mood has been impolite, undecided and adversative since starting the new regimen.",negative,Additional Negative Terms
1997,"I feel determined, confident and usual about the information I received.",positive,Additional Positive Terms
1998,The latest tests show my condition is evolved and anxious.,negative,Worsening Condition
1999,"My recovery has been erudite, unified and endurable so far.",positive,Additional Positive Terms
2000,The medication is making me feel refreshing and defended.,positive,Social Support
